Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
prodways,http://www.prodways.com/,3D / impression / dentaire,Spécialiste des systèmes d’impression 3D,Specialist 3D Printing Systems,specialist 3d print system
comprendrechoisir,http://www.comprendrechoisir.com/,questionnaire / réponses / expert / vidéo,Vos questions sont entre de bonnes mains,Your questions are in good hands,question good hand
jiminis,http://www.jiminis.com/,Food Tech / Idées cadeaux,La startup qui vous fait croquer (et aimer) les insectes comestibles!,The startup that makes you chew (and love) edible insects!,startup make chew love edibl insect
gudog,https://gudog.fr/mobile,Place de marché / animaux de compagnie / dog sitting / Application mobile,La solution en ligne de garde de chiens,The online solution watchdogs,onlin solut watchdog
kokoroe,https://www.kokoroe.fr,EdTech,Plateforme de prise de cours particuliers,Platform-making lessons,platform-mak lesson
avisi,http://www.avisi.fr,Market Place / BtoB / conseil / partage,"Partage d'expérience et conseils à la demande entre entrepreneurs, par téléphone. ","Sharing experience and advice at the request of entrepreneurs, by phone.",share experi advic request entrepreneur phone
e-works,https://www.e-works.fr,digital / E-commerce / emploi / jobboard / plateforme / recrutement / web,Plateforme de recrutement et site emploi spécialisée dans les métiers du Numérique / Web / Digital / E-commerce.,recruitment platform and job board specializing in the business of Digital / Web / Digital / E-commerce.,recruit platform job board special busi digit web digit e-commerc
lilo-kickstarter,http://kck.st/1etDcnT,Idées cadeaux,"Avec Lilo, faîtes pousser des aromates très simplement chez vous ! ","With Lilo, doing push spices easily at home!",lilo push spice easili home
top-five,http://www.top-five.fr/,freelance / Développement,"Les développeurs freelances peuvent désormais se concentrer sur ce qu'ils aiment faire : développer. Le reste (administratif, comptabilité, commercial...), Top-Five s'en occupe ! ","Freelance developers can now focus on what they love to do: develop. The remainder (administrative, accounting, business ...), Top-Five takes care!",freelanc develop focu love develop remaind administr account busi ... top-fiv take care
techonmap,http://techonmap.fr/,carte / startups / numérique / paris,La carte des acteurs du numérique en Île-de-France,Map of digital actors in Île-de-France,map digit actor île-de-fr
ubimix,http://ubimix.com,SmartCity / collaboratif,Création de cartes interactives ou print à partir d'OpenStreetMap et de données métiers.,"Creation of interactive maps, or print from OpenStreetMap and business data.",creation interact map print openstreetmap busi data
izberg-marketplace,http://www.izberg-marketplace.com/,E-commerce / Place de marché / SaaS / Place de marché,Izberg est une solution e-commerce de marketplace qui permet à n’importe quelle activité de lancer sa propre place de marché en ligne,Izberg is a solution e-commerce marketplace that allows any business to launch its own online marketplace,izberg solut e-commerc marketplac allow busi launch onlin marketplac
homy,http://homyplus.com/,Agenda / famille / Communauté,"Un agenda communautaire enrichi pour gérer simplement la vie quotidienne de votre famille, et interagir avec vos proches et amis ","Community diary brought to simply manage daily life of your family, and interact with your family and friends",commun diari brought simpli manag daili life famili interact famili friend
mojjo,http://www.mojjo.fr/,tennis / statistique / vidéo / ParisTech Entrepreneurs,Faites évoluer votre jeu de tennis comme les pros!,Evolve your game of tennis like the pros!,evolv game tenni like pro
youpush,http://youpush.co,Application mobile / push notification,Envoyez et recevoir des messages sous forme de notification push.La diffusion du push dépendra du vote des utilisateurs : push UP ou DOWN.,Send and receive messages in the form of notification push.La broadcast of push depend on the users vote: push UP or DOWN.,send receiv messag form notif push.la broadcast push depend user vote push
3d-slash,http://www.3dslash.net,3D,Logiciel de modélisation 3D pour le grands public,3D modeling software for major public,3d model softwar major public
homunity,http://homunity.fr/,crowdfunding immobilier / investissement,Plateforme de crowdfunding qui permet d'investir dans l'immobilier avec 5.000€!,"Crowdfunding platform, investing in real estate with 5.000 €!",crowdfund platform invest real estat 5.000 €
cit-barter,http://www.cit-barter.com,plateforme de barter,Plateforme d'échanges inter-entreprises pour le marché du conseil et du numérique,Platform inter-firm trade for the consulting market and digital,platform inter-firm trade consult market digit
paris-french-tech-ticket,http://bit.ly/1KjCEhv,/ Incubateur / etranger,Le Paris French Tech Ticket: offre d'accueil pour les entrepreneurs étrangers,Paris The French Tech Ticket: Home offers for foreign entrepreneurs,pari french tech ticket home offer foreign entrepreneur
e-agora,http://www.e-agora.fr,communication / Relations presse,1ère plateforme de relations presse pour les collectivités et les élus,1st platform of media relations for communities and elected,1st platform medium relat commun elect
start-it,http://jpousseassas.fr/le-guide/,Boîte à outils startup / entrepreneuriat / guide,Le guide à la création d'une entreprise réalisé par les étudiants de l'Association Jeune Pousse,The guide to creating a company directed by students of the Association Young Grows,guid creat compani direct student associ young grow
pikock,http://www.pikock.com,website builder / outils pour entrepreneurs et créateurs,"un outil de création de site web, sans une ligne de code! ","a website creation tool, without a line of code!",websit creation tool without line code
grafitee,https://grafitee.fr,t-shirt / Place de marché / vetements / Place de marché,Place de marché des marques indépendantes de t-shirt,marketplace independent t-shirt brands,marketplac independ t-shirt brand
mesdepanneursfr,http://www.mesdepanneurs.fr,Place de marché / dépannage,Première plate-forme de commande des interventions en dépannage domestique d'urgence en ligne,First platform control interventions in domestic online troubleshooting emergency,first platform control intervent domest onlin troubleshoot emerg
testamento,http://testamento.fr/fr/,Testament,"Votre testament en ligne : simple, rapide et sans vous déplacer ","Your will online: simple, fast and without moving",onlin simpl fast without move
la-cleanbox,http://www.lacleanbox.fr,pressing / Blanchisserie,Blanchisserie au kilo et pressing à domicile pour particuliers et entreprises,Laundry kilo and home dry cleaning for individuals and companies,laundri kilo home dri clean individu compani
tagawine,http://www.tagawine.fr/,vin / scan / Application mobile,Le Shazam du vin,The Shazam wine,shazam wine
kelchauffeur,http://www.kelchauffeur.com,Comparateur / vtc / vtc,Comparateur de Chauffeurs Privés,Compare Private Drivers,compar privat driver
kindogame,http://www.kindogame.fr/,Jeu mobile,Et si on réinventait le jeu de stratégie sur smartphone? Made in Paris!,What if we reinvented strategy game on smartphone? Made in Paris!,reinvent strategi game smartphon made pari
la-fabrique-du-net,http://www.lafabriquedunet.fr/,Comparateur / Boîte à outils startup,Comparateur de solutions pour création de site web.,Solutions Compare website creation.,solut compar websit creation
pain-pon,http://www.painpon.com/,livraison / boulangerie,Livraison de produits de boulangerie bio en vélo triporteur à la sortie des bureaux,Delivery of bakery products bio bike scooter at the exit office,deliveri bakeri product bio bike scooter exit offic
tictoque,https://www.tictoque.com/,cuisine / Place de marché / livraison,Recevez les ingredients le jour meme pour des recettes originales et des produits venant des producteurs locaux.,Get the ingredients the same day to the original recipes and products from local producers.,get ingredi day origin recip product local produc
ohmyguest,http://www.ohmyguest.fr,Tourisme / conciergerie / location courte durée / check in / check out / Economie collaborative,OhMyGuest propose ses services aux propriétaires mettant leur logement en location sur les plateformes de location de courte durée.,OhMyGuest offers services to owners putting their rental accommodation on the platforms of short-term rent.,ohmyguest offer servic owner put rental accommod platform short-term rent
studizen,https://studizen.co,communication / education / étudiant,"Studizen est l'outil de communication dédié aux établissements du supérieur. Connecté à l’établissement, privé et sécurisé, il permet une communication interne complète, moderne et centralisée pour l'administration, les professeurs et les étudiants. ","Studizen is the communication tool dedicated to higher education institutions. Connected to the institution, private and secure, it enables a complete internal communication, modern and centralized the administration, faculty and students.",studizen commun tool dedic higher educ institut connect institut privat secur enabl complet intern commun modern central administr faculti student
citodi,http://www.citodi.com,E-commerce / logistique / mobilité / transport,Citodi est une intelligence artificielle d’optimisation de tournées dynamiques qui prend en compte à la fois l’ensemble des variables d’une livraison et les remontées du terrain en temps réel.,Citodi is an artificial intelligence optimization of dynamic tours which takes into account both the set of variables of a delivery and lifts the ground in real time.,citodi artifici intellig optim dynam tour take account set variabl deliveri lift ground real time
heros-pour-de-vrai,http://heros-pour-de-vrai.com/,education / famille / enfant / mobile / psychologie / comportement / motivation,"Parents, Donnez de bonnes habitudes aux enfants ! ",Parents Give children good habits!,parent give child good habit
21heures,http://www.21HEURES.fr,Social dining / rencontre /,Social Dining: Elargissez votre cercle en rencontrant les amis de vos amis autour d'un dîner surprise.,Social Dining: Widen your circle by meeting friends of friends around a dinner surprise.,social dine widen circl meet friend friend around dinner surpris
talentclub,https://www.talentclub.io/,enchère / recrutement,Recrutement par enchères de talent web tech,Recruitment through web auction tech talent,recruit web auction tech talent
ateliers-draft,http://www.ateliers-draft.com/,atelier / e-shop / formation en ligne,"Atelier de fabrication partagé connecté à un eshop, mettant en commun coworking et fablab. ","Manufacturing plant connected to a shared eshop, pooling and coworking fablab.",manufactur plant connect share eshop pool cowork fablab
sunny-chairs,http://sunnychairs.fr/,Application mobile / Bon plan / / terrasse / Application mobile / iOS / Android,Dénicher une terrasse au soleil dans Paris c’est maintenant possible,Finding a sunny terrace in Paris is now possible,find sunni terrac pari possibl
uslide,https://www.uslide.io/,vidéo interactive / présentation,Synchronisez une vidéo avec des slides,Synchronize video with slides,synchron video slide
skytea,http://www.skytea.fr,CV,Refaire son CV à son image en français ou en anglais de partout dans le monde par skype,Redo his resume its image in French or English from all over the world through Skype,redo resum imag french english world skype
peekee-ios-app,http://peekee.me,petites annonces / géolocalisation / iOS / Application mobile / Bon plan,Achetez et vendez des objets d'occasion près de chez vous en un coup d'oeil.,Buy and sell used items near you at a glance.,buy sell use item near glanc
kenweego,http://www.kenweego.com/fr,Tourisme / Voyage,"Trouvez votre destination de week-end en fonction de vos dates, de votre budget et de vos envies! ","Find your destination weekend depending on your dates, your budget and your desires!",find destin weekend depend date budget desir
blacklistic-ios-android-app,http://www.blacklistic.fr/application-mobile-blacklistic-19.html,Service consommateur / e-réputation / médiation / E-commerce / Application mobile,"IOS & Android maintenant disponible! Le bashing est mort, Vive la conciliation ! ","IOS & Android Now Available! The bashing is dead, Long live the reconciliation!",io android avail bash dead long live reconcili
captain-contrat,http://captaincontrat.com/,LegalTech / rédaction / / conseils juridiques / information juridique / Boîte à outils startup,Service qui permet aux entrepreneurs de créer et développer leur société grâce à un accompagnement juridique et administratif très abordable.,Service that allows entrepreneurs to create and develop their society through legal support and administrative very affordable.,servic allow entrepreneur creat develop societi legal support administr afford
clothe-me,http://www.clothetomeapp.com,Application mobile,Application gratuite permettant de visualiser la totalité de son dressing sur son téléphone.,Free application for viewing the entire dressing room on his phone.,free applic view entir dress room phone
ruub-reserverunbarfr,http://www.reserverunbar.fr,Booking / réservation / bar,"Réservation gratuite pour un groupe dans les bars de Paris, Lille et Lyon. ","Free booking for a group in the bars of Paris, Lille and Lyon.",free book group bar pari lill lyon
hrcareers,http://www.hrcareers.fr,Site emploi / formation,Site emploi et formation spécialisé dans les métiers des Ressources Humaines (RH) et du droit social.,Website employment and training specializing in Human Resources trades (HR) and labor law.,websit employ train special human resourc trade hr labor law
mycuistot,http://www.mycuistot.com,chef a domicile / chef privé / cuisinier / service,Plateforme de réservation de cuisiniers privés au quotidien !,Booking page of private cooks every day!,book page privat cook everi day
cr-me-de-la-cr-me,http://cremedelacreme.io,service / Boîte à outils startup / Soutien scolaire / Services Professionnels,Les étudiants des Grandes Ecoles et universités travaillent pour vous à la demande. Envoyez-leur un SMS.,The students of the Grandes Ecoles and universities are working for you on demand. Send them an SMS.,student grand ecol univers work demand send sm
still-human-concept,http://www.cyborg-vegetal.fr/,IOT / Internet des objets / fleur / / jardin,"Le cyborg mi-plante, mi-robot ","The cyborg half-plant, half-robot",cyborg half-plant half-robot
beekast,http://www.beekast.com,Application mobile / conférences / interactivité / réunions,Beekast est une application mobile pour une interactivité maximale lors de vos événements,Beekast is a mobile application for maximum interactivity at your events,beekast mobil applic maximum interact event
payfacile,https://accueil.payfacile.com,Abonnement / application / E-commerce / facture / gestion d'entreprise / paiement,Le Plug & Play de la Vente et du Paiement en ligne,The Plug & Play of the Sale and Payment Online,plug play sale payment onlin
blacklisticfr,http://www.blacklistic.fr/application-mobile-blacklistic-19.html,Application mobile / e-réputation / E-commerce / médiation / Service consommateur,"Propose aux commerçants de défendre leur réputation en se réconciliant publiquement avec leurs clients mécontents. Le bashing est mort, Vive la conciliation ! ","Offers merchants to defend their reputation by publicly reconciling with their unhappy customers. The bashing is dead, Long live the reconciliation!",offer merchant defend reput publicli reconcil unhappi custom bash dead long live reconcili
kameleoon,http://www.kameleoon.com/,marketing / A/B Testing,La référence de l'A/B testing et de la personnalisation,The reference of the A / B testing and customization,refer b test custom
les-chasseurs-de-prix,http://www.leschasseursdeprix.com,collaboratif / Comparateur / economie / Bon plan,Trouvez les meilleurs prix du web sans avoir à chercher grâce à la communauté,Find the best prices on the web without having to search through the community,find best price web without search commun
lunii,http://www.lunii.fr,education,"Sous la forme d'un petit transistor coloré, Lunii est une fabuleuse fabrique à histoires qui développe l'imaginaire des 3-7 ans ! ","As a small transistor colorful, Lunii is a fabulous manufactures stories that develops the imagination of 3-7 years!",small transistor color lunii fabul manufactur stori develop imagin 3-7 year
cyclez,http://www.cyclez.fr,Location / vélo / mobilité,Parcs de vélos à assistance électrique en libre service en entreprise,Parks electric bikes free business service,park electr bike free busi servic
papernest,https://www.papernest.com/,Service aux particuliers,"Quand on déménage, on a mille et une choses à faire. Alors pourquoi s’occuper de la paperasse quand on peut le faire à votre place ? ","When we moved, we have a thousand and one things to do. So why take care of the paperwork when you can do it for you?",move thousand one thing take care paperwork
simply-seniorcom,http://www.simply-senior.com,Market Place / Silver Economie,Trouver une Auxiliaire de vie de confiance pour ses proches âgées n'a jamais été aussi simple !,Find a trusted Living Aids for his elderly relatives has never been so easy!,find trust live aid elderli rel never easi
le-hub-bpifrance,http://www.bpifrance-lehub.fr/,Incubateur / Bpifrance,"Une offre d’intermédiation pour catalyser les relations entre startups, ETI et grands groupes ",A finder's offer to catalyze relationships between startups and large groups ETI,finder 's offer catalyz relationship startup larg group eti
wedefi,http://www.wedefi.com,Marketing participatif,La communauté pour recevoir des produits gratuits grâce à tes défis !,The community to receive free goods thanks to your challenges!,commun receiv free good thank challeng
allomarcel,http://allomarcel.com/,artisan / dépannage à domicile / plomberie / chauffage / electricite / serrurerie / anti-nuisible / soudure / petits bricolages / peinture,Trouvez l'artisan de qualité et de confiance dont vous avez besoin pour vos tracas quotidiens !,Find the artisan quality and confidence you need for your daily worries!,find artisan qualiti confid need daili worri
commoprices,https://commoprices.com,Business Intelligence / intelligence économique / matières premières / prix,Portail des prix des matières premières,Portal commodity prices,portal commod price
footch,http://apple.co/1DqXPdn,jeux vidéo / football,"Si tu aimes le Foot et défier tes amis, Footch est fait pour toi – Le jeu social dédié au monde du ballon rond - ","If you love soccer and challenge your friends, Footch is for you - Social game dedicated to the world of football -",love soccer challeng friend footch social game dedic world footbal
soyezbcbg,https://www.soyezbcbg.com,en ligne / entreprise / Livraison à domicile / particulier / pressing,Les meilleurs pressings parisiens à portée de clic!,The best dry cleaners in Paris click away!,best dri cleaner pari click away
wisembly,http://wisembly.com/fr/,service / entreprise / réunions / collaboratif,Solution collaborative pour les réunions d'entreprise,Collaborative solution for business meetings,collabor solut busi meet
hoper,http://www.myhoper.com,Place de marché,Rendre accessible en 3 clics une prestation de ménage réalisée par les meilleurs professionnels du secteur.,Make accessible in 3 clicks provision of cleaning performed by top professionals.,make access 3 click provis clean perform top profession
mirakl,http://www.mirakl.com/,Pass French Tech / Place de marché / Place de marché /,Leader des solutions logicielles de Marketplace,Leading software solutions marketplace,lead softwar solut marketplac
octobat,https://www.octobat.com,SaaS / facture / TVA / paiement,Nous générons et envoyons des factures conformes à vos clients.,We generate and send invoices conform to your customers.,gener send invoic conform custom
make-line-paris,https://www.makeupline.com/,beauté,Le Coaching Make up à domicile avec Make up line !,Coaching Make up home with Make up line!,coach make home make line
stootie,https://stootie.com/,géolocalisation / service / Particulier à particulier / collaboratif,"Petites annonces géolocalisées en temps réel de services, conseils et bonnes affaires. ","Classifieds geotagged real-time services, advice and good deals.",classifi geotag real-tim servic advic good deal
keecker,http://www.keecker.com/,Robotique / automation,Le robot qui automatise votre maison!,The robot that automates your home!,robot autom home
vente2site,http://www.vente2site.fr,entrepreneuriat / revente,Mise en relation entre cédants et repreneurs de sites Internet,Linking between sites Internet sellers and buyers,link site internet seller buyer
misterjack,http://misterjack.co,Musique / Playlist / participatif,Le meilleur moyen de faire des playlists,The best way to make playlists,best way make playlist
wistiki,http://www.wistiki.com/1.aspx,géolocalisation / objets connectés,"Wistiki, la société high-tech française qui fabrique un objet connecté qui permet de retrouver ses affaires en les faisant sonner et en les géolocalisant depuis son smartphone. ","Wistiki, the French high-tech company that manufactures a connected object that finds its business by making them sound and the geolocating from their smartphone.",wistiki french high-tech compani manufactur connect object find busi make sound geoloc smartphon
bizecho,http://www.bizecho.com,rédaction / freelance,Vente de textes aux entreprises par des rédacteurs auteurs,Sale of texts companies by authors Editors,sale text compani author editor
ubudu,http://www.ubudu.com/,beacon / marketing / localisation,"Spécialisée dans les Beacons, Ubudu est à l'origine de la première solution de ""mesh networking"" permettant d'interagir avec les smartphones ne disposant pas de connexion Internet. ","Specializing in Beacons, Ubudu is behind the first solution of ""mesh networking"" for interacting with smartphones do not have Internet access.",special beacon ubudu behind first solut `` mesh network '' interact smartphon internet access
reperli,https://appsto.re/fr/qRJtN.i,Application mobile / iOS,Un carnet d'adresses pour ses lieux préférés,An address book to his favorite places,address book favorit place
juritravail,http://juritravail.com,information juridique / conseils juridiques / avocats / expertise,Résoudre tous vos problèmes juridiques,Solve all your legal problems,solv legal problem
my-own-art-gallery,http://myownartgallery.com/,culture / art / vente / 3D / exposition / œuvres d’art,Plateforme d’exposition et de vente d’œuvres d’art via la technologie 3D,Platform of exhibition and sale of works of art through 3D technology,platform exhibit sale work art 3d technolog
onoff,https://www.onoff.fr/,Application mobile / telecom / téléphonie,App permettant d'avoir plusieurs numéros de téléphone sur un seul mobile.,App allows to have multiple phone numbers on one phone.,app allow multipl phone number one phone
easyproprietaire,http://www.easyproprietaire.com,Immobilier,"Le Jiminy Cricket de l'achat immobilier, pour mener son projet en toute simplicité et avec enthousiasme ! ","The Jiminy Cricket buying real estate, to carry out his project easily and enthusiastically!",jimini cricket buy real estat carri project easili enthusiast
homengo,https://homengo.com,Immobilier,Trouvez et organisez vos recherches de logement simplement.,Find and organize your housing research simply.,find organ hous research simpli
inspeer,http://www.inspeer.me/,assurance,1er site d'assurance collaborative en France,1st site collaborative insurance in France,1st site collabor insur franc
bunkr,http://bunkrapp.com/,présentation / contenu / html5,PowerPoint killer,PowerPoint killer,powerpoint killer
karry,http://www.karry-me.com,Réseau social,The Social Travelling Community - Connecting people going to the same place at the same time,The Social Traveling Community - Connecting people going to the Saami up at the time Sami,social travel commun connect peopl go saami time sami
zelip,http://zelip.co/,Place de marché / artisan / design / makers,"Du mobilier déco, design et sur-mesure en direct des ateliers d'artisans ","The Deco furniture, design and customized Live artisan workshops",deco furnitur design custom live artisan workshop
youboox,http://www.youboox.fr/,Livre / lecture / illimité,Lisez en toute liberté des milliers de livres où et quand vous voulez,Read freely thousands of books whenever and wherever you want,read freeli thousand book whenev wherev want
happhapp,http://www.happhapp.com/,evenement / organisation,Organisez vos événements et festivités 'finger in the nose',Organize your events and festivities 'finger in the nose',organ event festiv 'finger nose
amogado,http://www.amogado.com,,"Des marques tendances, innovantes et design, où 100% des produits sont à gagner en équipe ! ","Trends brands, innovative design, where 100% of the products are to win as a team!",trend brand innov design 100 product win team
devispresto,http://www.devispresto.com/,devis / Comparateur,Des travaux réussis grâce à des devis comparatifs d'artisans notés par la communauté,Work through successful competing quotes craftsmen rated by the community,work success compet quot craftsman rate commun
duo,http://bit.ly/iplayduo1,Jeu mobile / puzzle / memory / brain game,Jeu iOS qui remix le classique jeu Memory en y ajoutant des cartes spéciales et niveaux pour pimenter votre experience,iOS game that remix the classic Memory game by adding special maps and levels to spice up your experience,io game remix classic memori game ad special map level spice experi
rdvmedicauxcom,https://www.rdvmedicaux.com,e-santé / santé / medecin / réservation,Prise de RDV online avec des médecins,Making appointments with doctors online,make appoint doctor onlin
wengo,http://www.wengo.fr,Place de marché / service / expert / E-commerce,1er site de conseil d'experts par téléphone,1 consulting expert site by phone,1 consult expert site phone
midipile,http://www.midipile.com,offres / tirage au sort / quotidien,Promoteur de tendances Made in France,trends promoter Made in France,trend promot made franc
gorgias,https://gorgias.io/,support client / support client / productivité / extension Chrome,Ecrivez vos emails plus rapidement avec des templates & raccourcis clavier,Write your emails quickly with templates & keyboard shortcuts,write email quickli templat keyboard shortcut
unimersiv,http://unimersiv.com,Réalité virtuelle,Une plateforme pour apprendre avec la réalité virtuelle,A platform for learning with virtual reality,platform learn virtual realiti
padam,http://padambus.com/,bus / Application mobile / transport / transport en commun /,Padam vous ramène chez vous la nuit en minibus partagés !,Padam you back home at night in shared minibus!,padam back home night share minibu
archionline,http://www.archionline.com/,architecture / BTP / Construction durable / construction / décoration / habitat / Place de marché / Travaux,"Archionline est une plateforme qui accompagne les particuliers dans leurs projets d'habitat (construction / extension / rénovation) dans toute la France, du conseil à la fin des travaux grâce à un résau de 400 pros passionnés. ","Archionline is a platform that assists individuals in their habitat projects (construction / extension / renovation) throughout France, from consulting to completion through a street-network 400 passionate pros.",archionlin platform assist individu habitat project construct extens renov throughout franc consult complet street-network 400 passion pro
keldoc,https://www.keldoc.com/,medecin / rendez-vous / annuaire / Application mobile,Trouvez un médecin près de chez vous et prenez rendez-vous,Find a doctor near you and make an appointment,find doctor near make appoint
mymajordhome,http://www.mymajordhome.net/,Economie collaborative / Location / Immobilier / Particulier à particulier / conciergerie,"Louez, partez l'esprit tranquille nous gérons votre location de A à Z ","Rent, leave the peace of mind we manage your rental from A to Z",rent leav peac mind manag rental z
human-coders,https://www.humancoders.com/,Centre de formation / conseil,Le centre de formation et de conseil recommandé par les développeurs,The center of training and advice recommended by the developers,center train advic recommend develop
mooltibox,http://www.mooltibox.com,IT / telecom,Solutions tout-en-un IT/Telecom simples d'utilisation pour les TPE/PME,Solutions All-in-one IT / Telecom easy to use for SOHO / SME,solut all-in-on telecom easi use soho sme
linotte,http://apple.co/1DoTPKF,application / géolocalisation / mobile,Le pense-bête géolocalisé futé de toutes vos adresses.,The smart location-based reminder of all your addresses.,smart location-bas remind address
heyythere,http://www.heyythere.com,géolocalisation / Réseau social,Laissez des messages et photos géolocalisés pour surprendre vos amis,Leave messages and pictures geolocated to surprise your friends,leav messag pictur geoloc surpris friend
iskn,http://www.iskn.co/fr,art / art digital / design / Hardware,Donnez une existence numérique à vos créations sur papier,Give a digital life to your creations on paper,give digit life creation paper
datananas,https://www.datananas.com,SaaS,Créez vos listes de prospects B2B à partir des réseaux sociaux professionnels,Create your lists of leads from B2B professional social networks,creat list lead b2b profession social network
infinit,https://infinit.io/,partage de documents,"Application de partage de fichiers performante, intuitive et sécurisée ","sharing application files powerful, intuitive and secure",share applic file power intuit secur
capitaine-train,https://www.capitainetrain.com/,train / réservation,Simplement le meilleur service de réservation et achat de billets de train.,Simply the best reservation service and buy train tickets.,simpli best reserv servic buy train ticket
la-boite-services,http://www.laboiteaservices.com,service / Place de marché / Place de marché,Achat et vente de services en ligne,Buying and selling online services,buy sell onlin servic
creads,http://www.creads.fr/,création / participatif,Plateforme de création participative,Platform participatory creation,platform participatori creation
lepetitballon,http://www.lepetitballon.com/,box / vin / Idées cadeaux,Découvrez chaque mois notre sélection de 2 bouteilles de vin livrées chez vous.,Discover our monthly selection of 2 bottles of wine shipped home.,discov monthli select 2 bottl wine ship home
speed-phoning,http://www.speedphoning.com,téléphonie / iPhone / web,L'agent téléphonique 3.0 qui préserve votre intimité,3.0 The telephone agent that preserves your privacy,3.0 telephon agent preserv privaci
404works,http://www.404works.com,annuaire / emploi / freelance / job / jobboard,Le moyen le plus simple de trouver les meilleurs freelances.,The easiest way to find the best freelancers.,easiest way find best freelanc
bird-office,https://www.bird-office.com/,Location / Place de marché / réservation / réunions / showroom,Réservez une salle de réunion partout en France au moindre prix !,Book a meeting room across France at lower prices!,book meet room across franc lower price
racontr,https://racontr.com,création / histoire / expérience / contenu / forme / vidéo,Plate-forme de création interactive,Platform interactive creation,platform interact creation
clacdesdoigts,https://www.clacdesdoigts.com/,assistant personnel / SMS,"Demandez un service par SMS, Clac Des Doigts vous le rendra! ","Ask a service by SMS, Clack Fingers will reward you!",ask servic sm clack finger reward
tinder-de-la-french-tech,http://lespepitestech.com/tinder-des-startups-french-tech,french tech / startups / swipe / swipe,Un simple swipe suffit pour voter et encourager les Startups de La French Tech,A simple swipe enough to vote and encourage Startups of The French Tech,simpl swipe enough vote encourag startup french tech
game2game,http://www.game2game.com,jeux vidéo / échange / Particulier à particulier,"Ne laissez plus vos jeux vidéo prendre la poussière, échangez les ! ","Do not let your video games gathering dust, swap!",let video game gather dust swap
vivanoda,http://www.vivanoda.fr/,transport / train / ferry / autocar / bus,Le couteau suisse du transport sur Internet!,The Swiss Army knife of transport on the internet!,swiss armi knife transport internet
fasterize,http://www.fasterize.com/fr/,Accélérateur / Boîte à outils startup / CDN,Accélérateur de site web !,Website Accelerator!,websit acceler
withings,http://www.withings.com/fr/withings-activite.html,IOT / objets connectés / montre,"Montre Swiss Made de nouvelle génération, à la croisée de l'horlogerie et du suivi de l'activité. ","Swiss Made watch of new generation, at the crossroads of watchmaking and monitoring of the activity.",swiss made watch new gener crossroad watchmak monitor activ
ecobillfr,http://www.ecobill.fr,energie / telecom / assurance / economie / facture,"Acheteur pour TPE/PME en énergie, télécom et assurance ","Buyer for SOHO / SMEs in energy, telecom and insurance",buyer soho sme energi telecom insur
music-beany-0,http://www.archos.com/fr/products/objects/cself/amb/index.html,IOT / Internet des objets / objets connectés,Un bonnet tricoté de haute qualité avec écouteurs Bluetooth intégrés,A high quality knitted beanie with integrated Bluetooth headset,high qualiti knit beani integr bluetooth headset
bnbsitter,http://fr.bnbsitter.com/,Economie collaborative / Immobilier / Location / Particulier à particulier / Place de marché,"Vous louez, nous accueillons. ","You rent, we welcome.",rent welcom
heavy-m,http://www.heavym.net/fr/,vidéo-mapping / logiciel,Logiciel de vidéo-mapping intuitif à destination du grand public,Software video-mapping intuitive to the general public,softwar video-map intuit gener public
click-boat,https://www.clickandboat.com,Place de marché / E-commerce / Particulier à particulier / bateau / Location,"Le leader de la location de bateaux entre particuliers, + 1000 bateaux disponibles en Europe ","The leading boat rentals between individuals, + 1000 boats available in Europe",lead boat rental individu 1000 boat avail europ
welkeys,https://www.welkeys.com/,Economie collaborative / Immobilier / Location / Particulier à particulier / Place de marché,"Maximisez vos revenus locatifs en confiant votre bien à des experts de la location courte et moyenne durée"" ","Maximize your rental income by entrusting your property to experts of the short term rental and average """,maxim rental incom entrust properti expert short term rental averag ``
driiveme,http://www.driiveme.com,Location / voiture / Place de marché / réservation,Location de voitures et utilitaire à 1€,Car and Utility 1 €,car util 1 €
dayuse,http://www.dayuse-hotels.com/fr/FR/,hôtel / réservation / annuaire,Le spécialiste des hôtels en journée. Louez des chambres à l'heure ou à la journée,The specialist in hotels during the day. Rent rooms by the hour or by the day,specialist hotel day rent room hour day
owl-perception,http://owlperception.com/,vidéo / réalité augmentée / vidéos 360°,Vidéos 360° et solutions de réalité virtuelle pour l'Oculus Rift & Samsung Gear VR,Video 360 ° virtual reality solutions for the Oculus Rift & Samsung Gear VR,video 360 ° virtual realiti solut oculu rift samsung gear vr
comparabus,http://www.comparabus.com/fr/,réservation / bus,Kayak pour l'autocar et le covoiturage,Kayaking to the bus and carpooling,kayak bu carpool
explee,https://explee.com/fr/,vidéo / animation,Créez une vidéo en quelques clics,Create a video in a few clicks,creat video click
tracktl,http://www.tracktl.com/,Musique / Application mobile / partage,Partage le Controle de la Musique,Sharing the Music Control,share music control
boaterfly,https://www.boaterfly.com/,Place de marché / E-commerce / Particulier à particulier / bateau / Location,Location de bateaux entre particuliers,Rental boat owner,rental boat owner
etre-gourmand,http://www.etregourmand.com/,Place de marché / E-commerce / artisan / Achat,Commander des produits du terroir directement auprès des meilleurs artisans de France.,Check local products directly from the best craftsmen in France.,check local product directli best craftsman franc
